Pkey,AreaID,UploadTime,SystemTime,Class,LastEndTime,StartTime,EndTime,Partnum,Lotnum,Layer,ProcName,EQID,MachineNo,IType,Inputpcs,Outputpcs,WID,User,OP,Remark,NCN,Version,Flag,Count,CreateTime,Enable
684,8,2024-01-22 01:18:18.000,2024-01-12 22:20:40.617,N,1900-01-01 00:00:00.000,2024-01-13 01:21:04.607,2024-01-13 01:53:18.133,2462W59M08,24141022-02-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,34,34,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
685,8,2024-01-22 01:18:18.000,2024-01-12 22:24:31.680,N,1900-01-01 00:00:00.000,2024-01-13 01:05:05.607,2024-01-13 01:30:38.610,2462W59M08,24141022-03-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,34,34,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
686,8,2024-01-22 01:18:18.000,2024-01-12 22:23:24.817,N,1900-01-01 00:00:00.000,2024-01-13 01:13:37.343,2024-01-13 01:44:14.457,2462W59M08,24141022-04-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,34,34,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
687,8,2024-01-22 01:18:18.000,2024-01-12 22:32:54.310,N,1900-01-01 00:00:00.000,2024-01-12 23:04:09.820,2024-01-13 00:31:52.867,3195P27A15,24151017-01-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,10,10,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
688,8,2024-01-22 01:18:18.000,2024-01-12 22:18:52.297,N,1900-01-01 00:00:00.000,2024-01-13 01:30:26.150,2024-01-13 02:00:11.130,3195N58A15,24151030-02-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,11,11,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
689,8,2024-01-22 01:23:26.000,2024-01-13 14:17:10.583,D,1900-01-01 00:00:00.000,2024-01-13 15:04:32.793,2024-01-13 15:27:08.317,2164001A02,241A1030-01-00,-L5L6,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,S1_樣品1,10,10,49021,"賴彥志              ",Z1090,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
690,8,2024-01-22 01:18:18.000,2024-01-12 22:32:06.557,N,1900-01-01 00:00:00.000,2024-01-13 00:32:00.510,2024-01-13 01:05:18.140,3195N58A15,24151030-01-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
691,8,2024-01-22 01:18:18.000,2024-01-12 20:55:35.800,N,1900-01-01 00:00:00.000,2024-01-12 22:50:03.783,2024-01-12 23:12:52.590,5143469B07,24151046-01-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
692,8,2024-01-22 01:18:18.000,2024-01-12 21:01:54.237,N,1900-01-01 00:00:00.000,2024-01-12 22:33:49.023,2024-01-12 23:03:38.640,5143469B07,24151046-02-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
693,8,2024-01-22 01:18:18.000,2024-01-12 21:01:05.543,N,1900-01-01 00:00:00.000,2024-01-12 22:42:21.150,2024-01-12 23:05:32.787,5143469B07,24151046-03-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
694,8,2024-01-22 01:18:18.000,2024-01-12 21:04:09.900,N,1900-01-01 00:00:00.000,2024-01-12 22:33:43.187,2024-01-12 22:57:03.347,5143469B07,24151046-04-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
695,8,2024-01-22 01:18:18.000,2024-01-12 21:11:16.057,N,1900-01-01 00:00:00.000,2024-01-12 22:06:21.730,2024-01-12 22:42:29.737,5143469B07,24151046-06-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
696,8,2024-01-22 01:18:18.000,2024-01-12 21:04:49.017,N,1900-01-01 00:00:00.000,2024-01-12 22:11:52.983,2024-01-12 22:42:42.997,5143469B07,24151046-07-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
697,8,2024-01-22 01:18:18.000,2024-01-12 20:46:35.040,N,1900-01-01 00:00:00.000,2024-01-12 22:57:13.577,2024-01-12 23:18:15.500,5143875B07,24151048-02-00,-Outer,PLG1SPS1,H3 PLUGGING IN CZ,PLGPTR1013,C_量產,40,40,49021,"賴彥志              ",77892,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
699,41,2024-01-13 16:15:17.000,2024-01-12 23:08:56.423,N,2024-01-12 19:19:00.000,2024-01-12 23:08:59.057,2024-01-13 01:06:41.477,2835429F04,23BA1014-01-00,-Outer,OSP1OSP1,H3 OSP機 #02,OSPOSP2013,C_量產,36,36,47788,"林英智              ",Z0990,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
700,73,2024-01-14 20:26:58.000,2024-01-12 19:30:46.193,N,2024-01-12 19:30:00.000,2024-01-12 21:39:21.000,2024-01-12 22:36:54.060,3262019A07,23CF3003-02-00,-L5L16,LTH1DFV1,H3 SAPCF 水平顯影線 #04,LTHDFV1033,C_量產,47,47,90118,"郭齊妮              ",25581,手動撕,NULL,2.0.23.11.27.1,1,0,NULL,1
703,3,2024-02-06 17:47:41.000,2024-01-13 15:21:43.030,D,2024-01-12 06:49:00.000,2024-01-13 15:21:52.043,2024-01-14 22:56:43.777,2231539A02,241B3012-01-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 330K #51,MDLMDL2193,C_量產,27,27,77743,"孟妮葵              ",77743,NULL,NULL,2.0.24.01.31.1,1,0,NULL,1
708,3,2024-02-06 17:47:41.000,2024-01-12 21:42:26.980,N,2024-01-12 06:42:00.000,2024-01-12 21:43:34.827,2024-01-13 17:51:04.700,5808342B03,241B3008-01-00,-L8L9,MDL2MDL1,H3 HITACHI 鑽孔機 200K #62,MDLMDL1383,C_量產,48,48,77743,"孟妮葵              ",z1711,NULL,NULL,2.0.24.01.31.1,1,0,NULL,1
709,3,2024-02-06 17:47:41.000,2024-01-12 21:54:01.543,N,2024-01-12 06:42:00.000,2024-01-12 21:55:25.157,2024-01-13 16:30:32.750,5808342B03,241B3008-02-00,-L8L9,MDL2MDL1,H3 HITACHI 鑽孔機 200K #59,MDLMDL1353,C_量產,48,48,77743,"孟妮葵              ",77048,NULL,NULL,2.0.24.01.31.1,1,0,NULL,1
710,3,2024-02-06 17:47:40.000,2024-01-13 14:44:57.740,D,2024-01-12 07:28:00.000,2024-01-13 14:45:23.500,2024-01-14 20:36:45.397,PESAC04A03,241B3010-01-00,-L2L3,MDL2MDL1,H3 HITACHI 鑽孔機 200K #68,MDLMDL1443,E3_實驗3,48,48,77743,"孟妮葵              ",77743,NULL,NULL,2.0.24.01.31.1,1,0,NULL,1
711,3,2024-02-20 09:56:13.000,2024-01-13 14:45:39.053,D,2024-01-12 07:28:00.000,2024-01-13 14:46:07.213,2024-01-15 19:54:47.527,PESAC04A03,241B3010-02-00,-L2L3,MDL2MDL1,H3 HITACHI 鑽孔機 200K #69,MDLMDL1453,E3_實驗3,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
714,3,2024-02-20 10:01:24.000,2024-01-13 05:55:22.110,N,2024-01-12 16:07:00.000,2024-01-13 05:55:46.547,2024-01-14 00:57:14.533,3262019A07,241C3006-01-00,-L10L11,MDL2MDL1,H3 HITACHI 鑽孔機 330K #50,MDLMDL2183,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
715,3,2024-02-06 17:47:40.000,2024-01-13 14:13:54.690,D,2024-01-12 16:07:00.000,2024-01-13 14:14:20.570,2024-01-14 00:56:57.180,3262019A07,241C3006-02-00,-L10L11,MDL2MDL1,H3 HITACHI 鑽孔機 330K #34,MDLMDL2073,C_量產,48,48,77743,"孟妮葵              ",77743,NULL,NULL,2.0.24.01.31.1,1,0,NULL,1
718,3,2024-02-20 09:58:17.000,2024-01-10 13:10:02.743,D,2024-01-10 02:07:00.000,2024-01-10 13:10:29.093,2024-01-12 22:19:27.223,3848029B02,24193021-01-00,-L10L11,MDL2MDL1,H3 HITACHI 鑽孔機 200K #07,MDLMDL1073,C_量產,48,48,77048,"木雀安              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
