Pkey,AreaID,UploadTime,SystemTime,Class,LastEndTime,StartTime,EndTime,Partnum,Lotnum,Layer,ProcName,EQID,MachineNo,IType,Inputpcs,Outputpcs,WID,User,OP,Remark,NCN,Version,Flag,Count,CreateTime,Enable
1,51,2024-01-12 21:46:35.000,2024-01-12 14:47:00.000,D,2024-01-12 14:15:00.000,2024-01-12 14:49:00.000,2024-01-12 15:46:00.000,2230201B01,23CL3026-01-01,-L5L12,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 01-B1,ABFMPO2013,QE1_急料實驗,1,1,Z0216,藍帝,藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
2,51,2024-01-12 21:46:35.000,2024-01-12 14:38:33.123,D,2024-01-12 14:05:00.000,2024-01-12 14:41:17.000,2024-01-12 15:33:38.287,5131G50BT3,23CM3042-02-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B2,ABFMPO2053,C_量產,28,28,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
3,51,2024-01-12 21:46:35.000,2024-01-12 14:38:30.267,D,2024-01-12 14:25:00.000,2024-01-12 14:41:17.000,2024-01-12 15:33:37.890,2490Y14B03,23CR3032-02-00,-L4L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B2,ABFMPO2053,C_量產,48,48,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
4,51,2024-01-12 21:16:14.000,2024-01-12 13:32:00.000,D,2024-01-12 13:19:00.000,2024-01-12 13:35:00.000,2024-01-12 14:28:00.000,2231551A02,23CP3016-05-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B4,ABFMPO2123,C_量產,48,48,Z1116,畢西,畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
5,51,2024-01-12 21:41:31.000,2024-01-12 13:47:13.340,D,2024-01-12 13:31:00.000,2024-01-12 13:48:55.000,2024-01-12 14:44:09.763,MFDME12B01,24193015-02-00,-L2L3,ABF1MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,E3_實驗3,45,45,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
6,51,2024-01-12 21:41:31.000,2024-01-12 13:47:05.357,D,2024-01-12 13:09:00.000,2024-01-12 13:48:56.000,2024-01-12 14:44:10.150,MFDME02C01,241A3005-01-00,-L2L3,ABF1MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,E3_實驗3,45,45,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
7,51,2024-01-12 21:16:14.000,2024-01-12 14:10:50.877,D,2024-01-12 13:53:00.000,2024-01-12 14:12:03.000,2024-01-12 14:39:07.243,2231510B04,24143013-01-00,-L4L5,ABF1MPO1,H3 直立式烤箱 BOX OVEN# 04-B1,ABFMPO2073,C_量產,48,48,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
8,51,2024-01-12 21:16:14.000,2024-01-12 14:26:07.993,D,2024-01-12 14:16:00.000,2024-01-12 14:28:40.000,2024-01-12 15:03:03.717,2231539A02,24133023-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B2,ABFMPO2083,C_量產,27,27,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
9,51,2024-01-12 21:16:14.000,2024-01-12 14:26:14.073,D,2024-01-12 14:09:00.000,2024-01-12 14:28:40.000,2024-01-12 15:03:19.970,2231585A01,24133008-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B2,ABFMPO2083,QS_急料樣品,3,3,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
10,51,2024-01-12 21:41:31.000,2024-01-12 14:43:00.000,D,2024-01-12 14:37:00.000,2024-01-12 14:48:00.000,2024-01-12 15:38:00.000,2231541A02,24133026-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B3,ABFMPO2113,C_量產,36,36,79154,木利諾,木利諾,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
11,51,2024-01-12 21:41:31.000,2024-01-12 14:47:00.000,D,2024-01-12 14:35:00.000,2024-01-12 14:49:00.000,2024-01-12 15:46:00.000,2230201B01,23CL3026-01-00,-L5L12,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 01-B1,ABFMPO2013,QC_急單量產,27,27,Z0216,藍帝,藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
12,50,NULL,1900-01-01 00:00:00.000,N,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,MFDME29A07,238O3007-01-41,-L2L5,ABF2CLN1,,,E3_實驗3,0,0,,,12401,NULL,NULL,,0,0,NULL,1
13,50,NULL,1900-01-01 00:00:00.000,N,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,MFDME29A07,238O3007-01-42,-L2L5,ABF2CLN1,,,E3_實驗3,0,0,,,12401,NULL,NULL,,0,0,NULL,1
14,50,NULL,1900-01-01 00:00:00.000,N,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,MFDME29A07,238O3007-01-43,-L2L5,ABF2CLN1,,,E3_實驗3,0,0,,,14231,NULL,NULL,,0,0,NULL,1
15,50,NULL,1900-01-01 00:00:00.000,N,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,MFDME29A07,238O3007-01-44,-L2L5,ABF2CLN1,,,E3_實驗3,0,0,,,12401,NULL,NULL,,0,0,NULL,1
46,50,2024-03-15 03:50:50.000,2024-03-15 01:57:55.310,N,1900-01-01 00:00:00.000,2024-03-15 02:39:15.000,2024-03-15 02:55:30.730,PEEXP83A01,237L3012-01-04,-L2L3,ABF1CLN1,H3 ABF 超音波水洗 #02,ABFCLN1023,E3_實驗3,2,2,14231,"梁書源              ",14231,NULL,NULL,2.1.24.02.27.3,1,0,NULL,1
47,50,2024-11-23 09:07:43.000,2024-11-23 08:33:04.607,D,1900-01-01 00:00:00.000,2024-11-23 08:33:06.863,2024-11-23 09:01:13.340,3288006FT3,23BA3012-01-04,-L3L16,ABF2CLN1,H3 ABF 超音波水洗 #02,ABFCLN1023,E2_實驗2,2,0,51796,"王國順              ",48998,NULL,NULL,2.1.24.06.04.2,1,0,NULL,1
73,50,2024-03-16 08:29:33.000,2024-03-08 23:11:47.350,N,2023-09-12 12:29:00.000,2024-03-08 23:11:49.007,2024-03-09 05:51:06.357,MFDME38A03,23973013-02-00,-L5L6,ABF1CLN1,H3 ABF 超音波水洗 #02,ABFCLN1023,E3_實驗3,7,0,51949,"魏育洝              ",仕旻,NULL,NULL,2.1.24.02.27.3,1,0,NULL,1
97,50,2024-01-22 15:59:45.000,2024-01-19 09:10:02.530,D,1900-01-01 00:00:00.000,2024-01-19 09:15:00.000,2024-01-19 09:34:10.660,PEABF08D09,24143011-01-23,-L2L5,ABF2CLN1,H3 ABF 超音波水洗 #01,ABFCLN1013,E3_實驗3,2,2,Z0317,"派克                ",派克,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
121,50,2024-03-01 14:15:52.000,2024-02-16 16:15:56.303,D,2023-12-23 15:42:00.000,2024-02-16 16:16:29.390,2024-02-16 16:27:25.570,PEEXP88A01,23CD3011-01-01,-L2L5,ABF2CLN1,H3 ABF 超音波水洗 #02,ABFCLN1023,E3_實驗3,1,1,13415,"袁仕旻              ",57472,NULL,NULL,2.1.24.02.27.3,1,0,NULL,1
206,51,2024-01-12 21:16:14.000,2024-01-12 15:25:00.000,D,2024-01-12 15:15:00.000,2024-01-12 15:28:00.000,2024-01-12 16:20:00.000,2231551A02,23CT3012-03-00,-L3L8,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B4,ABFMPO2123,C_量產,48,48,Z1116,畢西,畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
211,51,2024-01-12 21:16:14.000,2024-01-12 15:43:08.730,D,2024-01-12 15:32:00.000,2024-01-12 15:45:15.000,2024-01-12 16:39:33.240,2231551A02,23CT3025-01-00,-L3L8,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B1,ABFMPO2073,C_量產,48,48,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
215,51,2024-01-12 21:46:35.000,2024-01-12 15:45:09.810,D,2024-01-12 15:38:00.000,2024-01-12 15:52:22.000,2024-01-12 16:53:31.020,3262019A07,23C13006-02-00,-L3L18,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 07-B1,ABFMPO2173,C_量產,48,48,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
217,1,2024-01-23 12:07:13.000,2024-01-12 15:39:12.147,D,2024-01-12 15:39:00.000,2024-01-12 15:44:03.000,2024-01-12 16:08:27.820,2231506C08,241C3008-01-00,-L5L6,WPR1WPR1,H3 SUEP 蝕薄銅線,WPRWPR1013,C_量產,48,48,26503,"陳源宏              ",14182,NULL,NULL,2.0.23.12.01.1,1,0,NULL,1
219,51,2024-01-12 21:11:11.000,2024-01-12 16:04:00.000,D,2024-01-12 15:49:00.000,2024-01-12 16:05:00.000,2024-01-12 16:59:00.000,2231551A02,23CM3039-02-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B2,ABFMPO2083,C_量產,48,48,Z1116,畢西,畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
221,1,2024-01-23 12:07:13.000,2024-01-12 21:16:21.040,N,2024-01-12 15:58:00.000,2024-01-12 23:19:10.000,2024-01-12 23:44:29.253,3262019A07,24153025-03-00,-L10L11,WPR2WPR1,H3 SUEP 蝕薄銅線,WPRWPR1013,C_量產,48,48,59383,"朱清溪              ",14182,VOPTH,NULL,2.0.23.12.01.1,1,0,NULL,1
222,1,2024-01-23 12:07:13.000,2024-01-12 21:16:26.083,N,2024-01-12 15:48:00.000,2024-01-12 23:41:47.000,2024-01-13 01:00:58.873,3262019A07,24183012-01-00,-L10L11,WPR2WPR1,H3 SUEP 蝕薄銅線,WPRWPR1013,C_量產,48,48,59383,"朱清溪              ",59383,VOPTH,NULL,2.0.23.12.01.1,1,0,NULL,1
223,1,2024-01-23 12:07:13.000,2024-01-12 16:01:49.080,D,2024-01-12 16:01:00.000,2024-01-12 16:06:13.000,2024-01-12 16:26:57.310,5808342B03,241C3010-01-00,-L8L9,WPR1WPR1,H3 SUEP 蝕薄銅線,WPRWPR1013,C_量產,48,48,26503,"陳源宏              ",14182,NULL,NULL,2.0.23.12.01.1,1,0,NULL,1
224,51,2024-01-12 21:41:31.000,2024-01-12 16:22:08.113,D,2024-01-12 16:07:00.000,2024-01-12 16:24:56.000,2024-01-12 17:09:42.060,2230347C04,23CT3026-01-00,-L2L7,ABF2MPO1,H3 直立式烤箱 BOX OVEN #01-B2,ABFMPO2043,QC_急單量產,8,8,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
225,51,2024-01-12 21:41:31.000,2024-01-12 16:22:01.507,D,2024-01-12 16:06:00.000,2024-01-12 16:24:57.000,2024-01-12 17:09:27.103,3262019A07,23CF3021-02-00,-L6L15,ABF2MPO1,H3 直立式烤箱 BOX OVEN #01-B2,ABFMPO2043,C_量產,48,48,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
226,51,2024-01-12 21:41:31.000,2024-01-12 16:22:18.703,D,2024-01-12 16:05:00.000,2024-01-12 16:24:56.000,2024-01-12 17:09:56.670,2613146B04,23CT3029-01-00,-L2L7,ABF2MPO1,H3 直立式烤箱 BOX OVEN #01-B2,ABFMPO2043,C_量產,12,12,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
229,51,2024-01-12 21:41:31.000,2024-01-12 16:39:53.863,D,2024-01-12 16:16:00.000,2024-01-12 16:40:56.000,2024-01-12 17:10:26.533,2472363F09,23CP3028-01-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,C_量產,22,22,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
230,51,2024-01-12 21:11:11.000,2024-01-12 16:14:34.687,D,2024-01-12 16:12:00.000,2024-01-12 16:20:07.000,2024-01-12 17:13:11.603,2231551A02,23CP3016-07-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B3,ABFMPO2113,C_量產,48,48,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
240,51,2024-01-12 21:41:31.000,2024-01-12 16:39:47.187,D,2024-01-12 16:25:00.000,2024-01-12 16:40:57.000,2024-01-12 17:10:09.303,2230290C05,23CT3027-01-00,-L4L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,QC_急單量產,36,36,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
243,51,2024-01-12 21:41:31.000,2024-01-12 16:40:00.000,D,2024-01-12 16:28:00.000,2024-01-12 16:40:00.000,2024-01-12 17:44:00.000,2230650A02,23CE3016-01-01,-L2L15,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,QS_急料樣品,1,1,Z0216,藍帝,藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
270,1,2024-01-17 10:54:36.000,2024-01-12 16:39:03.570,N,2024-01-12 16:38:00.000,2024-01-12 20:34:17.000,2024-01-12 21:05:40.267,2231506C08,241C3008-02-00,-L5L6,WPR1WPR1,H3 SUEP 蝕薄銅線,WPRWPR1013,C_量產,48,48,59383,"朱清溪              ",59383,NULL,NULL,2.0.23.12.01.1,1,0,NULL,1
272,51,2024-01-12 21:11:11.000,2024-01-12 16:44:00.000,D,2024-01-12 16:29:00.000,2024-01-12 16:46:00.000,2024-01-12 17:43:00.000,2231551A02,23CP3016-02-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B4,ABFMPO2123,C_量產,48,48,Z1116,畢西,畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
285,74,2024-01-17 22:18:15.000,2024-01-12 16:40:37.347,D,2024-01-12 16:33:00.000,2024-01-12 16:57:41.000,2024-01-12 19:38:20.863,2230195B02,23CR3018-01-00,-L4L11,PTH1FCU1,H3 Cu Plating UVCP#01,PTHFCU2013,QS_急料樣品,8,8,Z1612,"平索尼              ",平索尼,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
286,74,2024-01-17 22:18:15.000,2024-01-12 16:46:17.263,D,2024-01-12 16:33:00.000,2024-01-12 16:50:26.000,2024-01-12 20:17:11.243,2231551A02,23CM3018-02-00,-Outer,PTH1FCU1,H3 Cu Plating UVCP#02,PTHFCU2023,C_量產,48,48,Z1215,"平拉夫              ",平拉夫,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
293,51,2024-01-12 21:31:25.000,2024-01-12 17:02:18.300,D,2024-01-12 16:58:00.000,2024-01-12 17:14:17.000,2024-01-12 18:11:59.020,3262019A07,23C13014-01-00,-L3L18,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 07-B1,ABFMPO2173,C_量產,47,47,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
298,51,2024-01-12 21:11:11.000,2024-01-12 17:26:00.000,D,2024-01-12 17:08:00.000,2024-01-12 17:27:00.000,2024-01-12 18:21:00.000,2231551A02,23CT3032-07-00,-L4L7,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B1,ABFMPO2073,C_量產,48,48,79154,木利諾,木利諾,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
299,51,2024-01-12 21:31:25.000,2024-01-12 17:20:04.220,D,2024-01-12 17:17:00.000,2024-01-12 17:32:41.000,2024-01-12 18:24:59.827,3262019A07,23C53018-03-00,-L3L18,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B2,ABFMPO2053,C_量產,48,48,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
313,65,2024-01-17 16:49:38.000,2024-01-12 16:56:20.437,D,2024-01-12 14:17:00.000,2024-01-12 18:14:55.000,2024-01-12 18:36:20.227,2165311F08,24123033-02-00,-L2L7,LTH1ACD1,H3 SAPCF壓膜前處理線 #01,LTHACD1013,C_量產,48,48,47561,"吳嘉哲              ",吳嘉哲,NULL,NULL,2.0.23.11.27.1,1,0,NULL,1
323,65,2024-01-17 16:50:55.000,2024-01-12 08:22:06.830,N,2024-01-12 07:09:00.000,2024-01-13 01:37:11.000,2024-01-13 02:00:21.617,2231541A02,24143010-01-00,-L3L6,LTH1ACD1,H3 SAPCF壓膜前處理線 #01,LTHACD1013,C_量產,48,47,24734,"張志寬              ",張志寬,NULL,NULL,2.0.23.11.27.1,1,0,NULL,1
324,65,2024-01-28 10:16:37.000,2023-12-15 23:10:38.167,D,2023-12-15 22:56:00.000,2024-01-26 15:26:49.370,2024-01-26 16:14:18.803,5143443T02,23773029-01-02,-Outer,LTH1ACD1,H3 SAPCF壓膜前處理線 #01,LTHACD1013,E3_實驗3,1,0,48310,"杜志仁              ",杜志仁,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
325,65,2024-01-22 18:53:08.000,2023-12-28 23:15:48.460,D,2023-12-28 22:49:00.000,2024-01-22 18:20:41.000,2024-01-22 18:48:58.060,3413034T01,238M3024-01-00,-L4L9,LTH1ACD1,H3 SAPCF壓膜前處理線 #01,LTHACD1013,E3_實驗3,5,3,47561,"吳嘉哲              ",吳嘉哲,NULL,NULL,2.0.23.12.25.1,1,0,NULL,1
328,40,2024-01-27 04:52:53.000,2024-01-18 18:49:07.847,D,1900-01-01 00:00:00.000,2024-01-18 18:49:28.347,2024-01-18 19:09:38.833,5808329A02,23C83040-01-01,-Outer,IMT1IMT1,H3 化錫線 #02,IMTIMT1023,C_量產,1,0,47788,"林英智              ",77160,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
329,40,2024-01-29 16:47:11.000,2024-01-12 16:32:28.810,D,2024-01-12 16:32:00.000,2024-01-12 17:00:25.000,2024-01-12 18:23:24.173,PEIMT03A02,241C3001-01-00,-Outer,IMT1IMT1,H3 化錫線 #02,IMTIMT1023,E4_實驗4,32,32,47788,"林英智              ",77160,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
330,40,2024-01-29 16:47:11.000,2024-01-12 17:04:59.513,D,2024-01-12 16:54:00.000,2024-01-12 17:35:13.000,2024-01-12 18:50:37.800,PEIMT03A02,241C3003-01-00,-Outer,IMT1IMT1,H3 化錫線 #02,IMTIMT1023,E4_實驗4,32,32,47788,"林英智              ",77160,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
335,19,2024-01-13 03:56:19.000,2024-01-13 01:21:01.867,N,2024-01-06 18:20:00.000,2024-01-13 01:25:20.000,2024-01-13 01:42:51.263,2231551A02,23C83039-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
336,19,2024-01-13 03:56:19.000,2024-01-13 01:34:57.340,N,2024-01-06 16:02:00.000,2024-01-13 01:51:35.000,2024-01-13 02:11:55.180,2231551A02,23CC3012-04-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
338,19,2024-01-12 21:13:46.000,2024-01-12 20:42:45.280,N,2024-01-09 06:25:00.000,2024-01-12 20:46:40.000,2024-01-12 21:05:17.240,2231498F04,23CD3014-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
339,19,2024-01-12 21:54:29.000,2024-01-12 21:12:13.897,N,2024-01-10 04:04:00.000,2024-01-12 21:15:26.000,2024-01-12 21:40:42.203,2231498F04,23CF3008-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,47,47,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
340,19,2024-01-13 13:38:33.000,2024-01-13 11:28:56.187,D,2024-01-10 17:53:00.000,2024-01-13 12:56:28.000,2024-01-13 13:18:32.613,2472363F09,23CF3029-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,35,35,48199,"鄧守為              ",Z1221,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
341,19,2024-01-12 22:14:19.000,2024-01-12 21:57:08.573,N,2024-01-09 10:49:00.000,2024-01-12 21:59:44.000,2024-01-12 22:11:20.903,2231541A02,23CF3030-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1546,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
342,19,2024-01-13 13:38:33.000,2024-01-13 10:31:14.090,D,2024-01-07 21:18:00.000,2024-01-13 11:11:06.000,2024-01-13 11:43:02.640,2231551A02,23CI3019-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
343,19,2024-01-13 13:38:33.000,2024-01-13 10:18:45.150,D,2024-01-08 03:44:00.000,2024-01-13 10:24:12.000,2024-01-13 10:49:20.497,2231551A02,23CI3019-02-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
344,19,2024-01-13 13:38:33.000,2024-01-13 10:27:55.610,D,2024-01-09 00:48:00.000,2024-01-13 10:47:24.000,2024-01-13 11:12:00.147,2231551A02,23CI3019-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
345,19,2024-01-13 17:04:37.000,2024-01-13 14:28:14.330,D,2024-01-08 05:20:00.000,2024-01-13 15:08:01.000,2024-01-13 15:35:57.333,2231551A02,23CI3019-04-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1221,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
347,19,2024-01-14 16:06:22.000,2024-01-13 22:35:07.210,D,2024-01-12 02:00:00.000,2024-01-14 09:19:47.000,2024-01-14 09:47:08.183,2231551A02,23CI3019-06-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
348,19,2024-01-14 16:06:22.000,2024-01-14 13:43:18.560,D,2024-01-11 17:24:00.000,2024-01-14 13:51:57.000,2024-01-14 14:13:40.917,2231551A02,23CJ3006-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
350,19,2024-01-14 16:06:22.000,2024-01-14 08:13:21.630,D,2024-01-10 23:20:00.000,2024-01-14 08:35:02.000,2024-01-14 08:59:37.343,2231551A02,23CJ3006-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1221,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
353,19,2024-01-13 17:09:39.000,2024-01-13 16:27:31.827,D,2024-01-08 14:52:00.000,2024-01-13 16:42:03.000,2024-01-13 17:05:43.180,2231551A02,23CK3008-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
356,19,2024-01-15 11:39:51.000,2024-01-15 08:11:04.953,D,2024-01-12 02:01:00.000,2024-01-15 08:39:34.000,2024-01-15 09:15:04.700,2231551A02,23CK3008-06-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1221,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
357,19,2024-01-14 16:06:22.000,2024-01-14 09:11:43.840,D,2024-01-11 15:15:00.000,2024-01-14 10:55:43.000,2024-01-14 11:20:03.150,2231551A02,23CL3010-02-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
361,19,2024-01-13 17:04:37.000,2024-01-13 14:19:41.497,D,2024-01-09 09:20:00.000,2024-01-13 14:38:11.000,2024-01-13 15:05:24.370,2231510B04,23CL3020-02-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
362,19,2024-01-14 16:06:22.000,2024-01-14 07:53:20.270,D,2024-01-09 14:47:00.000,2024-01-14 08:08:52.000,2024-01-14 08:38:05.853,2231510B04,23CL3020-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",z1221,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
363,19,2024-01-13 04:42:19.000,2024-01-13 04:00:13.147,N,2024-01-10 22:40:00.000,2024-01-13 04:03:24.000,2024-01-13 04:38:51.060,2231541A02,23CM3034-01-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
364,19,2024-01-13 04:52:24.000,2024-01-13 04:13:39.783,N,2024-01-11 04:07:00.000,2024-01-13 04:34:21.000,2024-01-13 04:50:15.440,2231541A02,23CM3034-02-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1263,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
365,19,2024-01-13 13:38:33.000,2024-01-13 10:37:05.290,D,2024-01-11 14:04:00.000,2024-01-13 11:41:34.000,2024-01-13 12:07:49.967,2231541A02,23CM3034-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",78073,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
367,19,2024-01-12 22:49:35.000,2024-01-12 22:23:42.453,N,2024-01-12 01:28:00.000,2024-01-12 22:26:53.000,2024-01-12 22:49:02.527,2231541A02,23CM3040-02-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1546,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
368,19,2024-02-06 06:13:18.000,2024-01-14 20:06:49.393,N,2024-01-12 16:27:00.000,2024-01-14 20:08:59.000,2024-01-14 20:36:58.250,2231541A02,23CM3040-03-00,-Outer,SMK1CLN1,H3 SMK 超音波水洗 #01,SMKCLN1013,C_量產,48,48,48199,"鄧守為              ",Z1349,NA,NULL,2.0.24.01.31.1,1,0,NULL,1
